state,city,geography,subgeography,subject_race,search_rate,stop_rate,hit_rate,inferred_threshold,stops_per_year,stop_rate_n
CA,Statewide,CA,Fresno County,white,NA,0.1297605993604544,NA,NA,29771.454545454544,1917549.4545454546
CA,Statewide,CA,Fresno County,black,NA,0.16870111598440934,NA,NA,4655.090909090909,364640.5454545454
CA,Statewide,CA,Fresno County,hispanic,NA,0.09737632222919389,NA,NA,42922.90909090909,1470953.0909090908
CA,Statewide,CA,Glenn County,white,NA,0.1297605993604544,NA,NA,10142.181818181818,1917549.4545454546
CA,Statewide,CA,Glenn County,black,NA,0.16870111598440934,NA,NA,502.7272727272727,364640.5454545454
CA,Statewide,CA,Glenn County,hispanic,NA,0.09737632222919389,NA,NA,2610.5454545454545,1470953.0909090908
CA,Statewide,CA,Humboldt County,white,NA,0.1297605993604544,NA,NA,15330.90909090909,1917549.4545454546
CA,Statewide,CA,Humboldt County,black,NA,0.16870111598440934,NA,NA,474.3636363636364,364640.5454545454
CA,Statewide,CA,Humboldt County,hispanic,NA,0.09737632222919389,NA,NA,1019.6363636363636,1470953.0909090908
CA,Statewide,CA,Imperial County,white,NA,0.1297605993604544,NA,NA,19838,1917549.4545454546
CA,Statewide,CA,Imperial County,black,NA,0.16870111598440934,NA,NA,2763.818181818182,364640.5454545454
CA,Statewide,CA,Imperial County,hispanic,NA,0.09737632222919389,NA,NA,49945.81818181818,1470953.0909090908
CA,Statewide,CA,Inyo County,white,NA,0.1297605993604544,NA,NA,12362.545454545456,1917549.4545454546
CA,Statewide,CA,Inyo County,black,NA,0.16870111598440934,NA,NA,393.6363636363636,364640.5454545454
